"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDZ14","OUT018",1534.06936358582
"DRG49","OUT049",3447.42845130435
"NCG06","OUT045",3337.11527309237
"DRC36","OUT045",2217.15117664975
"FDV21","OUT019",339.828500461681
"FDB53","OUT046",1534.06936358582
"DRP47","OUT019",339.828500461681
"FDA14","OUT013",2476.17098073701
"DRC24","OUT035",2217.15117664975
"FDW21","OUT018",1534.06936358582
"NCH29","OUT046",2217.15117664975
"FDU58","OUT013",3337.11527309237
"FDY27","OUT017",3337.11527309237
"FDV56","OUT035",2476.17098073701
"FDT59","OUT046",2758.6962606383
"FDB23","OUT046",3337.11527309237
"FDR49","OUT045",1132.8498619469
"FDB03","OUT010",339.828500461681
"FDN39","OUT045",2476.17098073701
"FDX02","OUT027",5355.02535258358
"FDQ16","OUT027",1534.06936358582
"FDU35","OUT018",1132.8498619469
"NCT29","OUT013",2217.15117664975
"FDZ27","OUT046",1534.06936358582
"FDN57","OUT017",2476.17098073701
"FDA03","OUT018",2476.17098073701
"FDZ36","OUT045",3447.42845130435
"NCU05","OUT013",2217.15117664975
"FDT39","OUT018",2217.15117664975
"FDK60","OUT017",1534.06936358582
"FDZ25","OUT017",1534.06936358582
"FDG12","OUT046",3447.42845130435
"DRB01","OUT019",339.828500461681
"NCC43","OUT027",5355.02535258358
"FDX13","OUT019",339.828500461681
"FDM22","OUT049",1132.8498619469
"FDJ03","OUT027",1132.8498619469
"FDU14","OUT018",3337.11527309237
"FDB33","OUT010",339.828500461681
"FDP27","OUT046",3337.11527309237
"FDO38","OUT010",339.828500461681
"FDE28","OUT027",5355.02535258358
"FDO27","OUT035",1534.06936358582
"DRL23","OUT027",1132.8498619469
"FDS28","OUT046",1534.06936358582
"FDX24","OUT013",2217.15117664975
"FDZ02","OUT035",1534.06936358582
"FDL46","OUT045",1132.8498619469
"FDS60","OUT027",3358.45318644068
"NCO06","OUT017",1132.8498619469
"FDO16","OUT035",2217.15117664975
"FDC60","OUT049",2217.15117664975
"FDA48","OUT018",3447.42845130435
"FDZ36","OUT027",3358.45318644068
"FDK27","OUT045",1534.06936358582
"FDW23","OUT018",2217.15117664975
"FDM14","OUT018",1534.06936358582
"FDM14","OUT013",1534.06936358582
"FDW60","OUT018",3447.42845130435
"FDE21","OUT013",2476.17098073701
"NCM42","OUT035",1534.06936358582
"FDY59","OUT010",339.828500461681
"DRI49","OUT049",1534.06936358582
"FDT28","OUT019",339.828500461681
"FDQ22","OUT018",1132.8498619469
"FDR60","OUT049",1534.06936358582
"FDC50","OUT019",339.828500461681
"FDV24","OUT013",3447.42845130435
"DRF48","OUT010",339.828500461681
"FDQ47","OUT046",1132.8498619469
"DRN36","OUT049",2217.15117664975
"NCY06","OUT035",2476.17098073701
"FDE52","OUT035",1534.06936358582
"NCB54","OUT045",2217.15117664975
"NCF31","OUT035",3337.11527309237
"FDJ08","OUT027",5355.02535258358
"NCC07","OUT017",1132.8498619469
"NCD19","OUT027",1132.8498619469
"FDL46","OUT049",2476.17098073701
"FDM20","OUT045",3337.11527309237
"NCI06","OUT010",339.828500461681
"DRM11","OUT035",2217.15117664975
"NCH07","OUT018",2476.17098073701
"FDS23","OUT013",2758.6962606383
"FDO49","OUT018",1534.06936358582
"FDS35","OUT049",1132.8498619469
"DRK39","OUT045",1534.06936358582
"DRI39","OUT049",1132.8498619469
"FDV04","OUT017",2217.15117664975
"NCN14","OUT035",3337.11527309237
"FDH08","OUT013",3337.11527309237
"FDS20","OUT046",3337.11527309237
"FDV40","OUT049",1534.06936358582
"FDZ48","OUT010",339.828500461681
"FDS24","OUT027",3358.45318644068
"FDK44","OUT049",2476.17098073701
"FDS48","OUT045",2217.15117664975
"FDK26","OUT010",339.828500461681
"FDD23","OUT045",3337.11527309237
"NCH54","OUT017",2476.17098073701
"NCP14","OUT010",339.828500461681
"FDM60","OUT010",339.828500461681
"FDV24","OUT017",3447.42845130435
"FDH08","OUT018",3337.11527309237
"FDS12","OUT027",2217.15117664975
"FDR39","OUT027",5355.02535258358
"FDP12","OUT027",1534.06936358582
"DRF60","OUT027",5355.02535258358
"FDC09","OUT035",2476.17098073701
"FDF50","OUT018",3447.42845130435
"FDG28","OUT035",3447.42845130435
"NCE19","OUT017",1132.8498619469
"NCM53","OUT010",339.828500461681
"NCN18","OUT049",1534.06936358582
"FDF32","OUT035",3337.11527309237
"FDF11","OUT013",3337.11527309237
"DRI59","OUT049",2217.15117664975
"NCG54","OUT035",2476.17098073701
"FDM44","OUT046",2476.17098073701
"FDT57","OUT018",3337.11527309237
"FDV24","OUT046",2217.15117664975
"FDI50","OUT019",339.828500461681
"FDS09","OUT035",1534.06936358582
"NCC31","OUT027",2476.17098073701
"FDQ07","OUT019",339.828500461681
"FDC22","OUT017",3337.11527309237
"FDZ56","OUT046",2476.17098073701
"FDZ40","OUT019",339.828500461681
"FDS46","OUT027",2476.17098073701
"DRD24","OUT045",2217.15117664975
"FDV45","OUT017",2476.17098073701
"FDL26","OUT045",1534.06936358582
"FDA56","OUT018",3337.11527309237
"FDN27","OUT046",2476.17098073701
"FDM20","OUT049",3337.11527309237
"FDO16","OUT017",2217.15117664975
"FDL03","OUT035",3337.11527309237
"FDE58","OUT046",1132.8498619469
"FDI02","OUT027",1534.06936358582
"NCC55","OUT019",339.828500461681
"FDR03","OUT018",3337.11527309237
"FDB14","OUT017",1132.8498619469
"FDR45","OUT013",3337.11527309237
"NCN07","OUT017",3337.11527309237
"FDM51","OUT019",339.828500461681
"FDT52","OUT027",5355.02535258358
"FDL26","OUT046",2476.17098073701
"NCZ42","OUT046",3337.11527309237
"DRI47","OUT019",339.828500461681
"FDW40","OUT013",1534.06936358582
"FDN34","OUT046",2476.17098073701
"FDS01","OUT035",2217.15117664975
"NCG55","OUT045",2476.17098073701
"FDC11","OUT035",1132.8498619469
"FDX35","OUT018",2217.15117664975
"NCB06","OUT046",3337.11527309237
"FDR09","OUT019",339.828500461681
"FDC53","OUT017",2217.15117664975
"FDY45","OUT013",3337.11527309237
"FDA22","OUT010",339.828500461681
"FDE02","OUT035",1534.06936358582
"FDW21","OUT045",1534.06936358582
"FDV34","OUT046",2476.17098073701
"FDS59","OUT049",1132.8498619469
"NCW17","OUT017",3337.11527309237
"NCK54","OUT046",2476.17098073701
"FDG17","OUT019",339.828500461681
"FDG35","OUT017",2476.17098073701
"FDD08","OUT010",339.828500461681
"NCO07","OUT017",3337.11527309237
"FDJ10","OUT010",339.828500461681
"FDW36","OUT017",2217.15117664975
"FDW21","OUT010",339.828500461681
"FDY19","OUT017",2476.17098073701
"DRE03","OUT013",1132.8498619469
"NCC55","OUT049",1132.8498619469
"FDH52","OUT010",339.828500461681
"FDO09","OUT017",3337.11527309237
"FDU43","OUT045",3337.11527309237
"FDX09","OUT010",339.828500461681
"FDH40","OUT019",339.828500461681
"FDW58","OUT017",1132.8498619469
"FDC47","OUT017",3337.11527309237
"NCR41","OUT035",1534.06936358582
"DRG49","OUT035",3447.42845130435
"FDC52","OUT027",2476.17098073701
"FDY13","OUT046",1534.06936358582
"FDY35","OUT013",1132.8498619469
"FDI35","OUT017",3337.11527309237
"NCU18","OUT049",2476.17098073701
"FDY33","OUT018",2476.17098073701
"FDC15","OUT027",2476.17098073701
"FDU01","OUT049",1534.06936358582
"NCU42","OUT046",3337.11527309237
"NCV29","OUT018",2217.15117664975
"NCY30","OUT017",2476.17098073701
"FDQ46","OUT049",1534.06936358582
"FDG58","OUT027",2476.17098073701
"FDK33","OUT017",3337.11527309237
"NCD07","OUT045",2476.17098073701
"NCX29","OUT027",5355.02535258358
"NCT42","OUT013",3337.11527309237
"DRN59","OUT035",1132.8498619469
"FDI44","OUT035",1132.8498619469
"FDA45","OUT049",2476.17098073701
"FDP31","OUT045",1132.8498619469
"FDY01","OUT046",1534.06936358582
"FDT09","OUT018",2476.17098073701
"DRH03","OUT027",2476.17098073701
"FDA36","OUT018",3447.42845130435
"NCF31","OUT017",2476.17098073701
"FDG14","OUT049",2217.15117664975
"FDG28","OUT027",5355.02535258358
"FDU14","OUT049",3337.11527309237
"FDY47","OUT019",339.828500461681
"FDI56","OUT049",1534.06936358582
"DRD01","OUT013",1534.06936358582
"FDM22","OUT046",1132.8498619469
"FDH33","OUT013",1132.8498619469
"DRZ24","OUT013",2217.15117664975
"NCQ38","OUT046",3337.11527309237
"FDO16","OUT027",1534.06936358582
"FDU07","OUT027",5355.02535258358
"NCB07","OUT013",2476.17098073701
"FDU48","OUT045",2217.15117664975
"NCM43","OUT045",3337.11527309237
"FDR31","OUT010",339.828500461681
"DRK49","OUT018",1534.06936358582
"NCI30","OUT010",339.828500461681
"DRD60","OUT017",2217.15117664975
"NCG19","OUT046",2476.17098073701
"FDH12","OUT035",2217.15117664975
"FDM32","OUT035",1132.8498619469
"FDM27","OUT035",1534.06936358582
"NCU53","OUT027",3358.45318644068
"NCQ18","OUT046",1132.8498619469
"FDS10","OUT013",2476.17098073701
"FDB33","OUT027",5355.02535258358
"FDI12","OUT013",2217.15117664975
"NCW42","OUT013",3337.11527309237
"NCC06","OUT018",2476.17098073701
"FDW02","OUT017",2217.15117664975
"NCD43","OUT017",1534.06936358582
"FDM57","OUT018",1534.06936358582
"FDA58","OUT017",3337.11527309237
"FDK56","OUT046",3337.11527309237
"FDP52","OUT045",3337.11527309237
"FDW20","OUT018",2476.17098073701
"FDS52","OUT049",2217.15117664975
"NCT29","OUT018",2217.15117664975
"NCL54","OUT013",2476.17098073701
"FDC05","OUT045",3337.11527309237
"FDF34","OUT035",3337.11527309237
"FDP03","OUT027",1534.06936358582
"FDD32","OUT010",339.828500461681
"FDZ10","OUT045",2476.17098073701
"FDZ40","OUT035",1534.06936358582
"FDD51","OUT018",1132.8498619469
"NCY30","OUT019",339.828500461681
"FDP58","OUT017",3337.11527309237
"FDV49","OUT017",3337.11527309237
"FDY24","OUT019",339.828500461681
"NCO55","OUT017",2217.15117664975
"FDR13","OUT017",1534.06936358582
"FDS51","OUT017",1534.06936358582
"FDP26","OUT045",1534.06936358582
"NCB54","OUT027",3358.45318644068
"FDF32","OUT017",3337.11527309237
"FDN31","OUT018",3337.11527309237
"DRM48","OUT017",1132.8498619469
"FDN20","OUT049",2476.17098073701
"DRL01","OUT046",3337.11527309237
"FDV56","OUT049",2476.17098073701
"DRH13","OUT027",3358.45318644068
"FDA03","OUT017",2476.17098073701
"FDF47","OUT027",5355.02535258358
"FDX32","OUT046",2476.17098073701
"FDX57","OUT049",1534.06936358582
"NCA30","OUT045",2476.17098073701
"FDO49","OUT013",1534.06936358582
"FDL04","OUT019",339.828500461681
"DRM48","OUT035",1132.8498619469
"FDR16","OUT013",2217.15117664975
"NCC19","OUT018",3337.11527309237
"NCE42","OUT045",3337.11527309237
"FDY24","OUT017",2217.15117664975
"FDH19","OUT049",3337.11527309237
"FDJ46","OUT013",3337.11527309237
"FDN45","OUT010",339.828500461681
"FDY08","OUT035",1534.06936358582
"FDZ37","OUT035",1534.06936358582
"NCT30","OUT045",1132.8498619469
"DRY23","OUT018",1534.06936358582
"NCZ30","OUT018",1534.06936358582
"FDC44","OUT018",2476.17098073701
"FDB45","OUT035",2476.17098073701
"FDY04","OUT013",3337.11527309237
"FDM27","OUT046",3337.11527309237
"FDZ43","OUT017",3337.11527309237
"FDT39","OUT019",339.828500461681
"NCC06","OUT019",339.828500461681
"FDL15","OUT027",5355.02535258358
"FDL57","OUT017",3337.11527309237
"FDU08","OUT046",2476.17098073701
"FDK40","OUT017",3337.11527309237
"FDQ12","OUT010",339.828500461681
"FDS48","OUT017",2217.15117664975
"FDP09","OUT045",2476.17098073701
"FDW21","OUT049",2217.15117664975
"FDY25","OUT035",2217.15117664975
"DRE13","OUT017",2217.15117664975
"FDV43","OUT019",339.828500461681
"FDD22","OUT045",1534.06936358582
"FDM46","OUT019",339.828500461681
"NCO30","OUT010",339.828500461681
"FDM25","OUT046",3337.11527309237
"NCN41","OUT049",2217.15117664975
"FDU24","OUT045",2217.15117664975
"FDZ50","OUT046",3337.11527309237
"FDP45","OUT013",3337.11527309237
"NCM54","OUT045",2476.17098073701
"FDW10","OUT019",339.828500461681
"FDP20","OUT017",2476.17098073701
"FDK32","OUT046",2476.17098073701
"FDN52","OUT049",1534.06936358582
"FDM58","OUT045",2476.17098073701
"FDZ46","OUT027",2476.17098073701
"NCA18","OUT018",2476.17098073701
"FDD35","OUT046",2476.17098073701
"NCK31","OUT035",2217.15117664975
"FDI40","OUT027",1534.06936358582
"FDT50","OUT019",339.828500461681
"NCT06","OUT046",2476.17098073701
"FDT31","OUT035",3337.11527309237
"FDT45","OUT049",1132.8498619469
"FDT13","OUT045",3337.11527309237
"FDO50","OUT045",1132.8498619469
"NCU18","OUT010",339.828500461681
"NCR54","OUT049",2476.17098073701
"NCO18","OUT018",2476.17098073701
"FDU09","OUT045",1534.06936358582
"FDT13","OUT018",3337.11527309237
"FDE09","OUT046",2476.17098073701
"NCK53","OUT019",339.828500461681
"FDG45","OUT049",3337.11527309237
"DRH15","OUT035",1132.8498619469
"FDO21","OUT019",339.828500461681
"FDD14","OUT027",1534.06936358582
"FDC09","OUT046",2476.17098073701
"FDH45","OUT027",1132.8498619469
"FDV32","OUT046",2476.17098073701
"FDG12","OUT035",2217.15117664975
"FDS32","OUT013",2476.17098073701
"NCL55","OUT018",3337.11527309237
"DRE01","OUT035",3447.42845130435
"DRE15","OUT049",1534.06936358582
"NCL42","OUT045",3337.11527309237
"FDP31","OUT013",1132.8498619469
"FDN33","OUT018",1534.06936358582
"FDZ59","OUT046",3447.42845130435
"FDE45","OUT010",339.828500461681
"FDJ07","OUT013",2217.15117664975
"FDQ45","OUT018",3337.11527309237
"FDM33","OUT027",5355.02535258358
"FDO15","OUT010",339.828500461681
"FDM46","OUT013",1534.06936358582
"FDR03","OUT045",3337.11527309237
"FDY49","OUT018",1534.06936358582
"FDQ60","OUT045",2217.15117664975
"FDW10","OUT049",2476.17098073701
"FDO51","OUT049",1534.06936358582
"FDJ40","OUT018",1534.06936358582
"FDS20","OUT018",3337.11527309237
"FDU45","OUT013",2476.17098073701
"FDV02","OUT035",2476.17098073701
"FDN09","OUT046",3337.11527309237
"NCM55","OUT027",5355.02535258358
"FDN23","OUT018",2758.6962606383
"FDY31","OUT010",339.828500461681
"FDW03","OUT010",339.828500461681
"FDD14","OUT046",2476.17098073701
"FDV23","OUT017",1132.8498619469
"DRI03","OUT045",3337.11527309237
"FDN13","OUT035",1534.06936358582
"FDF45","OUT027",2476.17098073701
"FDU46","OUT035",1534.06936358582
"FDB57","OUT049",3337.11527309237
"FDV12","OUT049",2217.15117664975
"FDQ58","OUT013",3337.11527309237
"NCA18","OUT017",2476.17098073701
"FDH52","OUT049",1534.06936358582
"FDM24","OUT018",3447.42845130435
"NCP43","OUT027",3358.45318644068
"NCO18","OUT019",339.828500461681
"FDM32","OUT017",1132.8498619469
"NCL07","OUT017",2217.15117664975
"FDK03","OUT013",3337.11527309237
"FDP59","OUT017",1132.8498619469
"FDQ24","OUT049",3447.42845130435
"FDQ16","OUT018",1534.06936358582
"FDU44","OUT013",3337.11527309237
"FDH28","OUT010",339.828500461681
"FDV28","OUT019",339.828500461681
"FDM22","OUT045",1132.8498619469
"FDR56","OUT046",3337.11527309237
"FDV39","OUT049",2217.15117664975
"FDU37","OUT019",339.828500461681
"FDQ11","OUT010",339.828500461681
"FDX02","OUT045",3337.11527309237
"NCS42","OUT018",1534.06936358582
"FDY57","OUT027",1534.06936358582
"FDB21","OUT049",3337.11527309237
"FDE28","OUT017",3337.11527309237
"FDQ55","OUT017",2476.17098073701
"FDA48","OUT049",3447.42845130435
"FDZ19","OUT045",3337.11527309237
"NCC43","OUT045",3337.11527309237
"NCV18","OUT046",1534.06936358582
"NCA42","OUT018",3337.11527309237
"FDY45","OUT046",3337.11527309237
"NCC30","OUT045",2476.17098073701
"FDM57","OUT013",1534.06936358582
"FDL09","OUT010",339.828500461681
"FDB09","OUT027",2476.17098073701
"FDT44","OUT035",2476.17098073701
"NCT06","OUT027",2476.17098073701
"FDX26","OUT049",2476.17098073701
"FDK32","OUT013",3337.11527309237
"DRA12","OUT046",2217.15117664975
"FDO46","OUT010",339.828500461681
"FDE52","OUT013",1534.06936358582
"NCH42","OUT045",3337.11527309237
"FDV08","OUT035",1534.06936358582
"FDB47","OUT018",3337.11527309237
"FDC28","OUT010",339.828500461681
"FDD22","OUT046",2476.17098073701
"FDS07","OUT027",2476.17098073701
"DRI13","OUT045",2217.15117664975
"FDG32","OUT018",2476.17098073701
"FDU14","OUT017",3337.11527309237
"FDD28","OUT019",339.828500461681
"NCP41","OUT017",2217.15117664975
"FDS08","OUT049",3337.11527309237
"FDX47","OUT045",2758.6962606383
"FDC53","OUT019",339.828500461681
"FDQ19","OUT035",3337.11527309237
"FDL14","OUT045",2217.15117664975
"FDM33","OUT019",339.828500461681
"FDA51","OUT045",1534.06936358582
"FDZ27","OUT018",1534.06936358582
"FDT04","OUT046",1132.8498619469
"DRC13","OUT049",2217.15117664975
"FDR16","OUT027",5355.02535258358
"FDQ03","OUT027",5355.02535258358
"FDE38","OUT035",2217.15117664975
"DRH23","OUT027",1132.8498619469
"FDT11","OUT019",339.828500461681
"FDD09","OUT035",3337.11527309237
"FDR40","OUT045",1534.06936358582
"FDX07","OUT017",2476.17098073701
"FDR07","OUT035",1132.8498619469
"FDA51","OUT017",1534.06936358582
"FDT59","OUT019",339.828500461681
"FDF20","OUT017",3337.11527309237
"FDR13","OUT045",1534.06936358582
"FDY26","OUT049",3337.11527309237
"FDW04","OUT017",2217.15117664975
"FDK52","OUT017",3337.11527309237
"FDN60","OUT049",2217.15117664975
"FDM09","OUT019",339.828500461681
"FDP46","OUT049",1132.8498619469
"FDB50","OUT019",339.828500461681
"NCQ29","OUT049",3447.42845130435
"FDP16","OUT027",5355.02535258358
"FDX33","OUT018",3337.11527309237
"FDP07","OUT010",339.828500461681
"FDN22","OUT046",3337.11527309237
"FDF39","OUT049",3337.11527309237
"FDS21","OUT017",1132.8498619469
"NCM42","OUT013",1534.06936358582
"FDK50","OUT019",339.828500461681
"DRF13","OUT027",5355.02535258358
"FDH35","OUT018",2476.17098073701
"FDP60","OUT018",2217.15117664975
"DRJ49","OUT027",3358.45318644068
"NCT42","OUT019",339.828500461681
"FDE38","OUT049",2217.15117664975
"FDI04","OUT049",2217.15117664975
"NCH54","OUT045",2476.17098073701
"FDT56","OUT049",1132.8498619469
"DRD15","OUT018",3337.11527309237
"FDV58","OUT013",2476.17098073701
"FDP21","OUT049",3337.11527309237
"FDH05","OUT013",3337.11527309237
"FDR10","OUT027",5355.02535258358
"NCP06","OUT045",2476.17098073701
"FDF33","OUT049",2217.15117664975
"DRK37","OUT013",3447.42845130435
"DRH49","OUT045",1534.06936358582
"FDT58","OUT013",3337.11527309237
"FDD41","OUT018",2217.15117664975
"FDP40","OUT018",2217.15117664975
"FDM51","OUT027",1534.06936358582
"FDO45","OUT010",339.828500461681
"FDW33","OUT010",339.828500461681
"FDY24","OUT045",2217.15117664975
"FDB10","OUT010",339.828500461681
"FDM40","OUT035",2217.15117664975
"NCI06","OUT017",3337.11527309237
"FDW12","OUT019",339.828500461681
"FDX48","OUT027",3358.45318644068
"NCW05","OUT027",5355.02535258358
"FDX27","OUT017",1132.8498619469
"DRM37","OUT045",2217.15117664975
"FDA38","OUT045",3337.11527309237
"FDR36","OUT046",1534.06936358582
"FDZ45","OUT046",3337.11527309237
"FDG05","OUT017",2217.15117664975
"FDK28","OUT013",3447.42845130435
"FDV47","OUT045",1132.8498619469
"FDN21","OUT045",2476.17098073701
"FDP20","OUT027",5355.02535258358
"FDI35","OUT045",3337.11527309237
"DRY23","OUT013",1534.06936358582
"FDA56","OUT017",3337.11527309237
"FDB09","OUT013",2476.17098073701
"NCO26","OUT027",2476.17098073701
"FDQ49","OUT018",2476.17098073701
"FDI52","OUT027",1534.06936358582
"FDZ44","OUT027",2476.17098073701
"FDZ09","OUT018",2476.17098073701
"FDY03","OUT049",1534.06936358582
"NCG42","OUT017",1132.8498619469
"DRI13","OUT027",5355.02535258358
"FDQ32","OUT013",2476.17098073701
"FDW16","OUT035",1534.06936358582
"FDU27","OUT046",1132.8498619469
"FDR28","OUT010",339.828500461681
"FDQ49","OUT010",339.828500461681
"FDS37","OUT046",1534.06936358582
"FDW26","OUT018",3337.11527309237
"FDX12","OUT018",3337.11527309237
"NCP06","OUT013",2476.17098073701
"FDW45","OUT010",339.828500461681
"NCN30","OUT049",1132.8498619469
"FDN24","OUT049",1534.06936358582
"NCL41","OUT027",1534.06936358582
"FDR02","OUT019",339.828500461681
"FDD09","OUT010",339.828500461681
"FDS33","OUT010",339.828500461681
"FDU22","OUT045",2476.17098073701
"FDI53","OUT013",2217.15117664975
"DRH01","OUT049",2217.15117664975
"FDX32","OUT013",2476.17098073701
"NCP30","OUT018",1132.8498619469
"FDB60","OUT045",3447.42845130435
"FDB14","OUT049",1132.8498619469
"NCP02","OUT035",1534.06936358582
"FDJ10","OUT017",2217.15117664975
"FDG34","OUT046",2476.17098073701
"NCB18","OUT017",1132.8498619469
"FDM16","OUT049",1534.06936358582
"FDW25","OUT018",1534.06936358582
"FDB35","OUT010",339.828500461681
"DRN11","OUT013",2758.6962606383
"FDF41","OUT019",339.828500461681
"FDH16","OUT045",1534.06936358582
"NCQ50","OUT018",2476.17098073701
"DRH23","OUT018",1132.8498619469
"DRJ37","OUT013",2217.15117664975
"DRJ24","OUT027",5355.02535258358
"FDY16","OUT035",3337.11527309237
"FDQ27","OUT045",2217.15117664975
"FDZ33","OUT045",2476.17098073701
"FDF29","OUT045",1534.06936358582
"FDA08","OUT049",3337.11527309237
"FDG31","OUT046",1534.06936358582
"FDE34","OUT019",339.828500461681
"NCR30","OUT027",1132.8498619469
"FDV33","OUT035",3337.11527309237
"DRZ24","OUT018",2217.15117664975
"NCL54","OUT035",2476.17098073701
"FDR12","OUT049",3447.42845130435
"NCC54","OUT046",3337.11527309237
"DRN59","OUT013",1132.8498619469
"FDX50","OUT019",339.828500461681
"FDV31","OUT027",5355.02535258358
"NCA29","OUT027",2476.17098073701
"FDW60","OUT049",3447.42845130435
"FDX08","OUT017",3337.11527309237
"DRD49","OUT013",2217.15117664975
"FDD33","OUT046",3337.11527309237
"FDW35","OUT013",1132.8498619469
"FDJ36","OUT017",2217.15117664975
"FDV51","OUT035",3337.11527309237
"FDW36","OUT046",2217.15117664975
"FDH35","OUT046",2476.17098073701
"NCS30","OUT027",2476.17098073701
"FDN49","OUT017",1132.8498619469
"FDL08","OUT018",3337.11527309237
"FDI09","OUT013",3337.11527309237
"FDP19","OUT018",2476.17098073701
"FDU21","OUT010",339.828500461681
"NCP41","OUT045",3337.11527309237
"FDY10","OUT013",2476.17098073701
"FDP12","OUT018",1534.06936358582
"NCN26","OUT049",1534.06936358582
"FDK44","OUT013",2476.17098073701
"FDC28","OUT049",2217.15117664975
"FDJ41","OUT027",5355.02535258358
"NCT29","OUT035",2217.15117664975
"NCH42","OUT019",339.828500461681
"FDU60","OUT018",2217.15117664975
"FDS02","OUT045",3337.11527309237
"FDC51","OUT046",2476.17098073701
"FDU03","OUT013",2476.17098073701
"FDX39","OUT045",3337.11527309237
"NCY05","OUT010",339.828500461681
"NCL06","OUT027",5355.02535258358
"FDD32","OUT035",1132.8498619469
"NCN41","OUT045",3337.11527309237
"NCX53","OUT049",2217.15117664975
"FDU57","OUT019",339.828500461681
"FDQ23","OUT046",1132.8498619469
"FDQ52","OUT045",3337.11527309237
"FDC14","OUT045",1132.8498619469
"FDY09","OUT035",3337.11527309237
"FDQ28","OUT045",3337.11527309237
"FDV25","OUT046",2217.15117664975
"FDJ07","OUT035",2217.15117664975
"DRB25","OUT049",2217.15117664975
"FDK52","OUT019",339.828500461681
"FDY52","OUT027",1534.06936358582
"FDB28","OUT046",3337.11527309237
"FDT36","OUT035",1534.06936358582
"FDV25","OUT017",2217.15117664975
"NCN07","OUT027",3358.45318644068
"FDC57","OUT017",2476.17098073701
"FDQ03","OUT018",3337.11527309237
"FDU23","OUT017",2758.6962606383
"NCX41","OUT035",3337.11527309237
"NCD06","OUT035",1132.8498619469
"FDW08","OUT045",2476.17098073701
"NCU29","OUT017",2217.15117664975
"NCE06","OUT013",3337.11527309237
"FDV52","OUT010",339.828500461681
"FDB02","OUT017",2217.15117664975
"NCR18","OUT045",1132.8498619469
"FDK16","OUT049",2217.15117664975
"NCQ29","OUT010",339.828500461681
"FDZ01","OUT019",339.828500461681
"FDW27","OUT035",2217.15117664975
"FDD17","OUT018",3337.11527309237
"FDW39","OUT013",2217.15117664975
"DRH59","OUT045",1132.8498619469
"FDS52","OUT013",2217.15117664975
"FDU40","OUT027",3358.45318644068
"NCF54","OUT013",2476.17098073701
"FDH46","OUT045",1534.06936358582
"NCP14","OUT049",1534.06936358582
"FDH50","OUT049",2217.15117664975
"DRF15","OUT010",339.828500461681
"FDV27","OUT027",1534.06936358582
